Region,Year,Total,1Room_rent_SQM,2Room_rent_SQM,3Room_rent_SQM,4Room_rent_SQM,5Room_rent_SQM,6Room_rent_SQM,Empty_quota,Density_p_per_room,density_p_per_flat,Size_per_p_in_sqm,Ownership_quota,Amount_total,amount_Rentals,amount_Genossenschaft,amount_own_flat,amount_own_house,amount_Others
Graubunden,2015,14.9,19.3,16.5,15.2,14.3,13.2,13.1,1.53,  0.57 ,  2.2 ,  46.0 ,  46.0 ,89406,43413,1384,14568,26559,3481
Aargau,2015,14.7,15.7,16.7,15,14.3,13.9,13.4,2.18,  0.57 ,  2.3 ,  49.4 ,  50.5 ,279806,129550,3125,35933,105332,5866
Thurgau,2015,12.9,14,13.9,13.3,12.6,12,12,1.80,  0.55 ,  2.3 ,  50.7 ,  48.0 ,113928,56247,843,11575,43109,2154
Tessin,2015,13.3,11.1,12.9,13.3,13.6,13.9,17.3,1.21,  0.60 ,  2.2 ,  46.9 ,  40.2 ,160183,85562,553,24943,39514,9611
Waadt,2015,16.7,20.2,17.7,16.3,16,15.9,17.5,0.81,  0.64 ,  2.3 ,  42.4 ,  31.7 ,333376,212987,3703,40152,65427,11108
Wallis,2015,13.1,14.1,14.2,13.3,12.5,12.4,12.5,1.81,  0.62 ,  2.3 ,  44.3 ,  57.3 ,143233,55021,329,36488,45530,5865
Neuenburg,2015,11.8,13.1,12.1,11.5,11.7,12.4,12.7,1.15,  0.59 ,  2.2 ,  43.9 ,  30.8 ,80445,52912,1016,8647,16119,1751
Genf,2015,18.5,19.5,17.9,18.1,18.3,18.4,22.1,0.45,  0.75 ,  2.4 ,  36.7 ,  18.8 ,186208,138989,6699,16113,18842,5566
Jura,2015,10.7,7.9,11,10.6,11,11,9.4,2.09,  0.56 ,  2.4 ,  45.3 ,  57.7 ,30120,11188,191,2256,15137,1349
Schweiz,2014,16.2,18,17.2,16.3,15.7,15.6,16.6,1.18,  0.60 ,  2.3 ,  45.1 ,  37.4 ,3576648,2001550,102555,408683,930228,133632
Zurich,2014,18.7,21.6,20.2,18.8,17.9,17.8,19.5,0.78,  0.62 ,  2.2 ,  44.3 ,  28.5 ,645149,399714,47736,69613,114360,13726
Bern,2014,14.7,14.9,15.7,15,14.4,14,14,1.47,  0.58 ,  2.2 ,  44.8 ,  39.8 ,453380,244221,10716,48554,131949,17939
Luzern,2014,15.2,18.3,16.8,15.6,14.6,14.6,14.2,0.93,  0.59 ,  2.3 ,  45.3 ,  34.8 ,167237,97860,5254,19839,38293,5990
Uri,2014,13.4,17.6,15.3,13.6,12.9,12.6,14.1,1.25,  0.57 ,  2.4 ,  44.6 ,  47.0 ,14819,6679,437,1656,5311,736
Schwyz,2014,16.7,15.6,17.8,17.4,16.2,15.9,17.4,0.89,  0.58 ,  2.3 ,  48.0 ,  41.6 ,64296,34388,322,8675,18080,2830
Obwalden,2014,14,15.1,14,14.6,13.7,13.2,16.2,0.54,  0.59 ,  2.4 ,  46.3 ,  41.7 ,15220,7907,0,1887,4463,867
Nidwalden,2014,16.3,17.6,17.5,16.8,15.8,15.8,16,1.40,  0.58 ,  2.3 ,  48.1 ,  40.1 ,18154,9960,221,3414,3861,698
Glarus,2014,12.9,15.2,14.6,12.9,13.1,12.6,10.4,2.12,  0.54 ,  2.3 ,  48.6 ,  46.6 ,17203,8200,295,993,7019,696
Zug,2014,19.8,22,21.3,19.9,19.2,19.2,21.3,0.46,  0.61 ,  2.3 ,  46.8 ,  34.9 ,51295,31099,746,9522,8405,1524
Freiburg,2014,14.9,17.8,16.4,15.2,14.4,13.8,14.4,0.96,  0.63 ,  2.4 ,  44.0 ,  43.2 ,122181,61777,552,10167,42567,7118
Solothurn,2014,13.7,15.6,14,14,13.7,12.6,13.3,2.33,  0.55 ,  2.2 ,  49.0 ,  49.2 ,115933,53902,1318,8796,48199,3716
Basel_Stadt,2014,17.4,19.5,17.6,16.8,17.5,18.2,19.6,0.34,  0.62 ,  1.9 ,  41.6 ,  16.0 ,96192,70207,9117,5339,10086,1442
Basel-Land,2014,16.7,14.4,17.2,17,16.5,16.3,18,0.39,  0.57 ,  2.3 ,  47.1 ,  45.4 ,123594,60764,2824,11574,44555,3876
Schaffhausen,2014,13.8,14.1,15,14.2,13.1,14.1,13.4,1.36,  0.54 ,  2.2 ,  50.1 ,  42.5 ,35754,18221,1226,3610,11582,1116
Appenzell_A,2014,13.3,19,15,13.1,13,13.5,12.1,1.96,  0.53 ,  2.3 ,  49.5 ,  49.1 ,22861,10581,177,1455,9779,869
Appenzell_I,2014,13.7,0,14.4,14.1,13.1,13.5,13.1,0.83,  0.56 ,  2.5 ,  46.3 ,  57.0 ,6183,2280,0,371,3155,308
St.Gallen,2014,14.2,15.7,14.5,15,13.9,13.5,12.9,1.79,  0.56 ,  2.3 ,  46.5 ,  41.2 ,211185,112948,3706,21663,65401,7467
Graubunden,2014,15.5,17.2,17.1,15.4,15.2,13.9,15.2,1.36,  0.57 ,  2.2 ,  45.6 ,  44.8 ,88663,43083,1261,13987,25762,4570
Aargau,2014,15.2,16.6,16.5,15.5,14.9,14.2,13.7,1.98,  0.57 ,  2.3 ,  49.3 ,  48.9 ,275428,128296,3158,34330,100307,9337
Thurgau,2014,13.5,16.2,14.8,13.8,13.3,12.4,12,1.64,  0.55 ,  2.3 ,  50.4 ,  46.9 ,111994,54518,1105,10193,42280,3898
Tessin,2014,13.8,11.9,13.5,13.9,13.9,14.2,16.9,1.01,  0.60 ,  2.2 ,  46.8 ,  39.2 ,158630,84465,435,25028,37098,11603
Waadt,2014,17.3,20.4,18,17.2,16.4,16.6,19.7,0.68,  0.64 ,  2.3 ,  42.3 ,  31.2 ,327841,207675,3888,37653,64587,14039
Wallis,2014,13.9,15.5,14,14.3,13.5,13.1,15.9,1.76,  0.62 ,  2.3 ,  43.7 ,  57.2 ,139926,51726,638,35737,44257,7569
Neuenburg,2014,12.7,12.2,12.9,12.5,12.7,13.1,14.5,1.28,  0.59 ,  2.2 ,  43.6 ,  29.6 ,79744,52702,883,8058,15540,2561
Genf,2014,19,19,18.3,18.7,19.1,19,22.9,0.41,  0.74 ,  2.4 ,  36.8 ,  18.3 ,183978,136741,6155,14752,19007,7323
Jura,2014,11.6,10.9,12.8,11.8,11.6,10.8,9.7,2.35,  0.56 ,  2.4 ,  44.9 ,  54.2 ,29808,11634,219,1815,14326,1814
Schweiz,2013,16,17.6,17.2,16.1,15.5,15.5,16.7,1.07,  0.60 ,  2.3 ,  45.0 ,  37.5 ,3532648,1971784,99101,404876,920831,136056
Zurich,2013,18.7,21.8,20.1,18.8,17.9,17.9,19.4,0.76,  0.61 ,  2.2 ,  44.3 ,  28.6 ,638852,396495,44979,69478,113309,14591
Bern,2013,14.6,15.4,15.5,14.6,14.3,14,14.5,1.44,  0.58 ,  2.2 ,  44.7 ,  40.0 ,448533,240059,10099,47803,131507,19065
Luzern,2013,15.2,18.1,17,15.5,14.5,14.4,14.8,0.80,  0.59 ,  2.3 ,  45.1 ,  34.5 ,164309,96536,5184,19053,37631,5904
Uri,2013,13.2,15.9,14.7,14.6,12.6,12.3,11.2,0.80,  0.58 ,  2.4 ,  44.2 ,  46.1 ,14749,6442,473,1275,5528,1031
Schwyz,2013,16.7,14.8,16.9,16.9,16.3,16.5,19.5,0.87,  0.58 ,  2.4 ,  47.6 ,  42.7 ,63238,32699,566,9639,17361,2973
Obwalden,2013,14.3,17.8,15.8,15.4,13.3,15,11,0.61,  0.60 ,  2.4 ,  45.9 ,  50.3 ,15271,6851,0,2276,5405,705
Nidwalden,2013,16,18.8,15.9,16.4,15.6,16.7,14.1,1.24,  0.58 ,  2.3 ,  47.8 ,  41.9 ,18005,9735,170,3413,4130,557
Glarus,2013,12,11.5,11.3,13.1,12.5,9.2,11.9,1.57,  0.54 ,  2.3 ,  48.8 ,  50.0 ,17022,7851,162,1179,7338,492
Zug,2013,19.2,22.8,21.1,19.1,18.6,18.5,21.2,0.39,  0.61 ,  2.3 ,  46.6 ,  33.0 ,50573,31332,928,9745,6969,1599
Freiburg,2013,14.5,16.8,16,14.6,13.9,13.6,14.5,0.78,  0.63 ,  2.4 ,  43.9 ,  44.6 ,119695,59397,381,10613,42772,6532
Solothurn,2013,13.6,15,14.5,13.6,13.3,13.4,13.4,2.13,  0.55 ,  2.2 ,  48.9 ,  49.6 ,113851,52119,936,8565,47956,4276
Basel_Stadt,2013,17,17.9,17.4,16.7,16.8,17.6,19.2,0.23,  0.61 ,  1.9 ,  42.0 ,  15.3 ,95752,70147,9669,5632,9047,1257
Basel-Land,2013,16.5,14.5,17.6,16.5,16.2,16.7,17.3,0.32,  0.57 ,  2.3 ,  47.1 ,  45.4 ,122202,59121,3615,11174,44345,3947
Schaffhausen,2013,13.5,18.3,15.9,13.3,13.1,13.9,12,1.15,  0.54 ,  2.2 ,  50.0 ,  43.4 ,34523,17403,992,3469,11506,1153
Appenzell_A,2013,13.2,13.5,15.1,12.9,13.5,12.5,11.2,1.81,  0.53 ,  2.3 ,  49.3 ,  49.5 ,22535,10183,271,1616,9540,925
Appenzell_I,2013,13.3,14.3,16.6,13.7,13.8,11.2,11,1.12,  0.57 ,  2.5 ,  45.6 ,  52.2 ,6251,2510,0,318,2944,388
St.Gallen,2013,13.9,13.6,15.1,14.4,13.5,13.4,13.3,1.63,  0.56 ,  2.3 ,  46.3 ,  41.5 ,207467,110647,3269,21236,64806,7509
Graubunden,2013,15.3,15.2,17.5,16.1,14.7,13.7,12.9,1.19,  0.58 ,  2.2 ,  45.3 ,  44.7 ,86872,42241,1223,13522,25344,4543
Aargau,2013,15,15.7,16.1,15.5,14.6,13.8,14.7,1.67,  0.57 ,  2.3 ,  49.2 ,  49.1 ,269451,124160,3223,32463,99774,9832
Thurgau,2013,13.2,14.9,14.8,13.5,13,12.4,12.1,1.53,  0.55 ,  2.3 ,  50.1 ,  46.5 ,109036,52645,1036,10144,40580,4631
Tessin,2013,13.6,10.9,13.2,13.7,13.8,15.1,13.9,0.83,  0.60 ,  2.2 ,  46.5 ,  38.7 ,154713,82673,427,23640,36228,11745
Waadt,2013,16.9,19.9,17.9,16.6,16.3,16.3,17.9,0.68,  0.64 ,  2.3 ,  42.4 ,  31.5 ,324654,205290,3283,36294,65922,13865
Wallis,2013,13.6,14.3,14.8,13.7,13,12.8,13.5,1.58,  0.63 ,  2.3 ,  43.3 ,  57.4 ,137563,51124,348,36265,42762,7065
Neuenburg,2013,12.6,12.5,12.9,12.3,12.7,12.3,14.4,1.04,  0.60 ,  2.2 ,  43.4 ,  30.6 ,78455,51154,983,8092,15907,2319
Genf,2013,19.1,18.3,19.2,18.7,18.6,19.1,25.1,0.39,  0.73 ,  2.3 ,  37.3 ,  17.9 ,189255,141560,6561,15939,17923,7273
Jura,2013,11.3,9.4,11.3,11.6,11.4,10.6,11.4,2.25,  0.56 ,  2.4 ,  44.4 ,  54.8 ,29820,11410,197,2035,14299,1879
Schweiz,2012,15.9,18.3,17.3,16,15.4,15.1,15.9,0.97,  0.60 ,  2.3 ,  45.0 ,  37.2 ,3553711,1980070,97577,391821,910123,119876
Zurich,2012,18.5,21.6,20.3,18.5,17.8,17.7,18.6,0.60,  0.61 ,  2.2 ,  44.3 ,  29.0 ,644289,392813,43385,67786,115472,13303
Bern,2012,14.7,17.5,15.5,15,14.3,13.9,14.2,1.31,  0.58 ,  2.2 ,  44.6 ,  39.1 ,451716,243334,10091,46091,127837,17221
Luzern,2012,15,19.3,16.9,15.4,14.3,14.3,13.9,0.70,  0.59 ,  2.3 ,  44.8 ,  34.6 ,163952,93879,5525,18688,36978,5775
Uri,2012,12.9,0,14.9,12.9,12.8,12.2,12.9,0.67,  0.58 ,  2.4 ,  43.8 ,  44.8 ,14738,6867,569,1601,4894,573
Schwyz,2012,16.8,17.4,18.5,16.9,16.4,16.4,17.2,0.74,  0.58 ,  2.4 ,  47.3 ,  41.2 ,64172,34031,512,8397,17625,2586
Obwalden,2012,14.2,0,16,14.4,13.9,13.1,13,0.65,  0.60 ,  2.4 ,  45.6 ,  49.0 ,15077,6624,85,2391,4902,871
Nidwalden,2012,15.8,26.5,18.8,15.8,15,15.6,14.2,2.37,  0.58 ,  2.3 ,  47.3 ,  39.2 ,17977,9820,108,3129,3850,906
Glarus,2012,12.3,14.3,12.9,12.4,12.4,11.9,12,1.60,  0.54 ,  2.3 ,  48.5 ,  50.6 ,17047,7467,234,1104,7456,654
Zug,2012,19.4,21,21.6,19.6,18.6,19.1,22.6,0.35,  0.61 ,  2.3 ,  46.5 ,  34.7 ,50206,29713,995,9334,7844,1591
Freiburg,2012,14.4,17.1,16.1,14.6,13.8,12.8,13.1,0.66,  0.63 ,  2.4 ,  43.8 ,  43.3 ,118850,60256,682,9481,41485,5750
Solothurn,2012,13.5,15.5,14.8,13.5,13.4,12.5,11.9,1.87,  0.55 ,  2.3 ,  48.7 ,  48.6 ,114917,52917,1195,8602,46227,3889
Basel_Stadt,2012,16.9,19.1,17.5,16.6,16.7,16.5,18.3,0.33,  0.61 ,  1.9 ,  42.0 ,  14.9 ,96745,69047,9392,5730,8177,1192
Basel-Land,2012,16.7,14.5,17.7,16.9,16.5,16.4,16.9,0.37,  0.57 ,  2.3 ,  47.0 ,  45.2 ,123774,60114,2864,11899,43218,3901
Schaffhausen,2012,12.9,15.4,14.9,13,12.7,11.6,11.5,1.15,  0.54 ,  2.2 ,  49.8 ,  42.5 ,35391,18060,958,3031,11848,1124
Appenzell_A,2012,13,15,14.9,12.9,13.1,11.2,13.7,1.68,  0.53 ,  2.3 ,  49.2 ,  45.6 ,22894,11233,307,1493,8777,724
Appenzell_I,2012,13.9,0,11.6,13.9,14.1,14.9,13.1,1.21,  0.57 ,  2.6 ,  45.1 ,  52.8 ,6237,2514,0,443,2768,251
St.Gallen,2012,13.9,16.5,14.9,14.2,13.7,13.4,12.3,1.51,  0.56 ,  2.3 ,  46.1 ,  41.0 ,209470,112483,3039,20253,64070,5833
Graubunden,2012,15.3,17.1,17.5,16,14.9,12.5,13.8,0.93,  0.58 ,  2.2 ,  45.2 ,  43.3 ,88635,43915,1324,12370,25379,4178
Aargau,2012,14.9,17.8,16.5,15.2,14.6,13.6,12.9,1.68,  0.57 ,  2.3 ,  49.0 ,  49.2 ,269717,123743,3132,32671,98240,8235
Thurgau,2012,13.2,13.5,14.7,13.7,13,12.4,11.2,1.47,  0.55 ,  2.4 ,  49.9 ,  46.1 ,109763,53511,1016,9723,39868,3508
Tessin,2012,13.4,11.9,13.4,13.4,13.4,13.9,15.6,0.82,  0.60 ,  2.2 ,  46.8 ,  38.8 ,155819,83191,416,22577,36843,10053
Waadt,2012,16.8,20.6,17.8,16.6,16.2,16,17.7,0.61,  0.64 ,  2.3 ,  42.6 ,  31.2 ,323381,205263,4069,35821,64334,11728
Wallis,2012,13.7,15.6,15.8,13.6,13.1,13,12.8,1.30,  0.63 ,  2.4 ,  43.2 ,  57.2 ,137589,51508,458,33824,43736,6036
Neuenburg,2012,12.5,13.8,12.6,12.3,12.6,12.3,13.1,0.82,  0.60 ,  2.2 ,  43.6 ,  30.4 ,78929,51433,933,8389,15408,2059
Genf,2012,18.7,18.1,18.8,18.5,18.5,18.5,23.2,0.36,  0.73 ,  2.3 ,  38.2 ,  17.6 ,193137,145348,6028,15242,18374,6301
Jura,2012,11.2,9.9,11.5,11.1,11.6,10.4,11,2.01,  0.56 ,  2.5 ,  43.7 ,  56.0 ,29289,10985,151,1751,14512,1636
