Region,Year,Total,1Room_rent_SQM,2Room_rent_SQM,3Room_rent_SQM,4Room_rent_SQM,5Room_rent_SQM,6Room_rent_SQM,Empty_quota,Density_p_per_room,density_p_per_flat,Size_per_p_in_sqm,Ownership_quota,Amount_total,amount_Rentals,amount_Genossenschaft,amount_own_flat,amount_own_house,amount_Others
Glarus,2019,12.7,8.8,14.6,13,12.7,12.2,11.2,1.83,  0.53 ,  2.2 ,  50.0 ,  44.4 ,18064,8982,347,1174,6844,716
Zug,2019,19.5,22.3,21.5,20.1,18.7,18.4,19.1,0.70,  0.61 ,  2.3 ,  47.4 ,  32.6 ,54949,34505,997,9782,8154,1511
Freiburg,2019,14.6,17.2,16.9,14.5,14,13.7,12,1.89,  0.62 ,  2.4 ,  45.3 ,  42.2 ,133498,69919,540,12430,43911,6697
Solothurn,2019,13.9,16.3,15.4,13.9,13.5,12.5,14.2,3.22,  0.55 ,  2.2 ,  49.9 ,  47.3 ,122859,59410,1645,9919,48243,3643
Basel_Stadt,2019,18.2,20.1,19.1,17.7,17.7,18.3,19.4,0.96,  0.63 ,  2.0 ,  41.4 ,  15.8 ,97280,71783,9208,6006,9389,893
Basel-Land,2019,16.8,16.7,18.3,17,16.6,15.2,16.9,1.14,  0.56 ,  2.2 ,  47.9 ,  44.1 ,128674,65676,3067,12896,43851,3183
Schaffhausen,2019,13.6,13.8,16,13.4,12.9,14.7,12.1,2.03,  0.54 ,  2.1 ,  51.2 ,  41.6 ,37719,20168,1008,3839,11869,834
Appenzell_A,2019,12.9,13.6,11.3,13.4,13.3,12.2,12.8,1.64,  0.52 ,  2.3 ,  51.1 ,  46.7 ,24008,11455,389,1801,9416,948
Appenzell_I,2019,14.8,0,14.7,15.7,15.2,13.7,11.4,2.15,  0.51 ,  2.4 ,  50.1 ,  56.9 ,6508,2438,0,577,3127,270
St.Gallen,2019,14.2,16,15.6,14.5,13.7,13.3,13.3,2.41,  0.55 ,  2.3 ,  47.8 ,  40.6 ,222993,123283,3340,24134,66303,5933
Graubunden,2019,15.2,16.6,17.3,15.8,14.5,13.3,14.3,1.40,  0.56 ,  2.1 ,  47.3 ,  44.3 ,92439,46386,1558,14768,26162,3564
Aargau,2019,15.2,18.1,17.2,15.5,14.5,14.4,14,2.65,  0.57 ,  2.3 ,  50.0 ,  47.3 ,297250,144327,3437,38877,101615,8995
Thurgau,2019,13.6,17.4,14.3,14,13.3,12.3,11.8,2.48,  0.55 ,  2.3 ,  51.7 ,  45.4 ,121701,61969,1410,12487,42716,3118
Tessin,2019,13.8,12.8,13.9,13.7,13.8,13.8,14.8,2.71,  0.58 ,  2.1 ,  48.3 ,  38.1 ,163660,89868,529,22800,39474,10989
Waadt,2019,17.6,22.3,19.1,17.4,16.7,16.2,17.4,1.37,  0.63 ,  2.2 ,  43.0 ,  29.8 ,353845,229882,4440,41572,63907,14045
Wallis,2019,13.9,16.6,15,14,13.2,12.4,13.8,2.40,  0.60 ,  2.2 ,  46.1 ,  54.5 ,152629,61637,457,37397,45767,7371
Neuenburg,2019,12.6,14.5,13,12.3,12.4,13,14.7,2.35,  0.58 ,  2.1 ,  45.1 ,  30.3 ,81531,53225,1100,8790,15905,2511
Genf,2019,19.5,21.3,20.4,19.5,19,18.6,21.2,0.49,  0.76 ,  2.4 ,  36.5 ,  18.1 ,197549,145778,8250,16970,18723,7828
Jura,2019,11.8,11.2,13.7,11.5,12,10.5,13.8,2.52,  0.53 ,  2.2 ,  47.7 ,  49.5 ,32391,13893,415,2018,14021,2045
Schweiz,2018,16.2,19.2,17.7,16.3,15.5,15.3,16.3,1.66,  0.60 ,  2.2 ,  45.7 , 36.6 ,3755689,2152134,107655,436818,938296,120786
Zurich,2018,19.1,22.7,21,19.1,18,18,18.9,0.89,  0.62 ,  2.2 ,  44.5 , 27.5 ,680762,430597,51228,72763,114635,11539
Bern,2018,14.7,16.3,15.9,14.8,14.1,13.6,14.4,1.87,  0.58 ,  2.2 ,  45.6 , 38.8 ,469305,260033,10101,50833,131491,16848
Luzern,2018,15.1,19.1,17.1,15.6,14.4,14.1,13.9,1.51,  0.58 ,  2.3 ,  46.4 , 35.0 ,176401,104079,5663,22110,39601,4948
Uri,2018,13.1,15.8,14.6,13.4,12.6,12.4,14.5,1.88,  0.56 ,  2.3 ,  46.3 , 46.2 ,15307,6871,648,1541,5523,724
Schwyz,2018,16.8,18.3,18.5,16.5,16.5,16.5,17.3,1.44,  0.57 ,  2.3 ,  49.5 , 39.9 ,68181,38229,482,9282,17932,2256
Obwalden,2018,13.7,13.2,15.3,14.2,13.7,12.4,10.4,0.87,  0.58 ,  2.3 ,  47.9 , 45.1 ,16025,7948,0,2438,4783,807
Nidwalden,2018,15.8,21.2,18.6,15.7,15.4,14.7,15.5,1.50,  0.57 ,  2.2 ,  49.5 , 40.7 ,19022,10520,0,3887,3846,658
Glarus,2018,12.8,16.8,15.6,13.1,12.5,9.8,12.3,1.71,  0.53 ,  2.2 ,  49.8 , 47.1 ,17921,8550,152,1299,7141,778
Zug,2018,19.4,21.5,21.5,19.8,18.6,18.8,20.3,0.42,  0.61 ,  2.3 ,  47.3 , 33.3 ,54467,34207,876,10136,8026,1222
Freiburg,2018,14.6,18,16.5,14.7,13.8,13.4,12.4,1.83,  0.62 ,  2.4 ,  44.8 , 43.2 ,130746,67361,395,12989,43485,6517
Solothurn,2018,13.5,15.5,14.6,13.3,13.3,12.8,14.5,3.40,  0.55 ,  2.2 ,  49.6 , 47.7 ,121262,58274,1556,10112,47680,3640
Basel_Stadt,2018,18,20.1,18.8,17.4,17.3,19.3,21.3,1.02,  0.63 ,  2.0 ,  41.0 , 14.3 ,96209,72815,8721,5277,8480,916
Basel-Land,2018,16.8,19.8,17.6,16.9,16.4,15.7,17.6,1.06,  0.57 ,  2.2 ,  47.7 , 44.1 ,127596,64509,3253,12186,44042,3606
Schaffhausen,2018,13.4,17.3,14.8,13.5,13.1,12.1,13.4,2.56,  0.54 ,  2.2 ,  50.7 , 43.5 ,37252,19487,816,4083,12113,753
Appenzell_A,2018,13,11.5,15.8,12.8,12.8,12.8,11.5,2.30,  0.52 ,  2.3 ,  50.7 , 48.2 ,23767,10968,364,1605,9847,983
Appenzell_I,2018,13.7,14.8,14.3,14.4,13.3,12.6,0,2.02,  0.52 ,  2.5 ,  49.3 , 55.3 ,6463,2641,0,575,3002,185
St.Gallen,2018,14.1,17.2,15.1,14.5,13.6,13.3,12,2.18,  0.56 ,  2.3 ,  47.5 , 41.1 ,220279,120644,2819,23791,66705,6320
Graubunden,2018,15,17,16.5,15.6,14.5,13.3,12.2,1.68,  0.56 ,  2.1 ,  47.0 , 43.5 ,91447,46202,1203,13172,26577,4293
Aargau,2018,15.1,17.8,16.5,15.6,14.5,13.7,13.9,2.59,  0.57 ,  2.3 ,  49.8 , 47.2 ,292604,143112,3613,36423,101731,7725
Thurgau,2018,13.3,15,15.1,13.7,12.8,12.2,12.2,2.65,  0.55 ,  2.3 ,  51.4 , 44.9 ,119717,61567,1318,11620,42138,3074
Tessin,2018,13.7,12.6,13.6,13.7,13.9,14,15.8,2.29,  0.59 ,  2.1 ,  47.9 , 39.6 ,163476,88008,451,23686,40999,10332
Waadt,2018,17.5,23.3,19.1,17.1,16.6,16.2,17.6,1.10,  0.64 ,  2.2 ,  42.8 , 30.4 ,349132,224818,4499,40301,65962,13552
Wallis,2018,13.8,16.4,15,14,13,12.3,12.4,2.09,  0.61 ,  2.2 ,  45.5 , 55.2 ,150384,59217,568,38144,44795,7660
Neuenburg,2018,12.5,14.3,12.6,12.2,12.6,12.4,12.8,2.39,  0.58 ,  2.1 ,  44.8 , 30.8 ,81044,52791,920,9037,15904,2392
Genf,2018,19.1,20.8,19.7,18.9,18.4,18.2,22.2,0.54,  0.76 ,  2.4 ,  36.4 , 18.1 ,194936,144687,7684,17378,17841,7346
Jura,2018,10.9,8.9,11.9,10.9,11,10.1,10.2,2.59,  0.53 ,  2.3 ,  47.3 , 50.5 ,31984,14000,104,2151,14015,1714
Schweiz,2017,15.9,18.2,17.2,16,15.2,15.3,16,1.62,  0.60 ,  2.2 ,  45.5 ,  38.0 ,3715931,2097818,107119,445559,967793,97643
Zurich,2017,18.6,21.8,20.7,18.7,17.5,17.6,18.1,0.99,  0.62 ,  2.2 ,  44.4 ,  29.2 ,671409,417474,49665,76563,119226,8480
Bern,2017,14.4,16,15.2,14.5,14.1,13.6,13.5,1.83,  0.58 ,  2.2 ,  45.4 ,  40.3 ,466562,254413,9729,50825,137023,14572
Luzern,2017,15,18.8,16.8,15.4,14.2,14.1,14.2,1.44,  0.58 ,  2.3 ,  46.1 ,  35.3 ,174242,103396,5413,21580,39919,3934
Uri,2017,12.9,13.4,13.4,13.1,12.6,12.8,12.8,1.41,  0.57 ,  2.4 ,  45.7 ,  49.1 ,15118,6650,456,1614,5814,584
Schwyz,2017,16.3,17.9,17.8,16.3,16,15.3,17.2,1.44,  0.58 ,  2.3 ,  49.1 ,  42.7 ,66978,35611,740,10671,17903,2052
